Substation/Group,Voltage,Scenario,Year,Financial Year,Headroom (MW),Headroom Type,GSP,Primary_Substation
IRVINE,11.0,HT,2047,2047/48,0.0,Demand,KILWINNING,IRVINE
IRVINE,11.0,HT,2048,2048/49,0.0,Demand,KILWINNING,IRVINE
JACKTON,11.0,EE,2035,2035/36,15.43602099964639,Demand,EAST KILBRIDE SOUTH,JACKTON
JACKTON,11.0,EE,2036,2036/37,14.7866102862972,Demand,EAST KILBRIDE SOUTH,JACKTON
JACKTON,11.0,EE,2037,2037/38,14.13004817070982,Demand,EAST KILBRIDE SOUTH,JACKTON
JACKTON,11.0,EE,2039,2039/40,12.86649875925025,Demand,EAST KILBRIDE SOUTH,JACKTON
JACKTON,11.0,EE,2045,2045/46,10.48380602258343,Demand,EAST KILBRIDE SOUTH,JACKTON
JACKTON,11.0,HE,2037,2037/38,15.3579122209003,Demand,EAST KILBRIDE SOUTH,JACKTON
JACKTON,11.0,HE,2041,2041/42,13.70440585402186,Demand,EAST KILBRIDE SOUTH,JACKTON
JACKTON,11.0,HE,2042,2042/43,13.41322396704915,Demand,EAST KILBRIDE SOUTH,JACKTON
JACKTON,11.0,HE,2044,2044/45,12.85641844267308,Demand,EAST KILBRIDE SOUTH,JACKTON
JACKTON,11.0,HE,2045,2045/46,12.6348801991656,Demand,EAST KILBRIDE SOUTH,JACKTON
JACKTON,11.0,HT,2024,2024/25,19.26204251497563,Demand,EAST KILBRIDE SOUTH,JACKTON
JACKTON,11.0,HT,2027,2027/28,19.15175979415518,Demand,EAST KILBRIDE SOUTH,JACKTON
JACKTON,11.0,HT,2030,2030/31,18.15764370995696,Demand,EAST KILBRIDE SOUTH,JACKTON
JACKTON,11.0,HT,2031,2031/32,17.76466579590493,Demand,EAST KILBRIDE SOUTH,JACKTON
JACKTON,11.0,HT,2032,2032/33,17.30485380275561,Demand,EAST KILBRIDE SOUTH,JACKTON
JACKTON,11.0,HT,2036,2036/37,15.33786151065842,Demand,EAST KILBRIDE SOUTH,JACKTON
JACKTON,11.0,HT,2041,2041/42,12.80055407400314,Demand,EAST KILBRIDE SOUTH,JACKTON
JACKTON,11.0,HT,2043,2043/44,12.08154547676988,Demand,EAST KILBRIDE SOUTH,JACKTON
JACKTON,11.0,HT,2046,2046/47,11.41675583169985,Demand,EAST KILBRIDE SOUTH,JACKTON
JOHNSTONE (PRIMARY),11.0,EE,2036,2036/37,2.241141984869405,Demand,JOHNSTONE,JOHNSTONE (PRIMARY)
JOHNSTONE (PRIMARY),11.0,EE,2038,2038/39,0.0,Demand,JOHNSTONE,JOHNSTONE (PRIMARY)
JOHNSTONE (PRIMARY),11.0,EE,2039,2039/40,0.0,Demand,JOHNSTONE,JOHNSTONE (PRIMARY)
JOHNSTONE (PRIMARY),11.0,EE,2044,2044/45,0.0,Demand,JOHNSTONE,JOHNSTONE (PRIMARY)
JOHNSTONE (PRIMARY),11.0,HE,2038,2038/39,2.745977825937512,Demand,JOHNSTONE,JOHNSTONE (PRIMARY)
JOHNSTONE (PRIMARY),11.0,HE,2044,2044/45,0.0,Demand,JOHNSTONE,JOHNSTONE (PRIMARY)
JOHNSTONE (PRIMARY),11.0,HE,2049,2049/50,0.0,Demand,JOHNSTONE,JOHNSTONE (PRIMARY)
